N_A,N_B,r_Z_A,r_Z_B,C_SS1,r_A_SS1,r_B_SS1,p_SS1toACL_A,p_SS1toRef_A,p_SS1toACL_B,p_SS1toRef_B,r_A_ACL,r_B_ACL,r_A_SS2,r_B_SS2,R0,R0_low,R0_up,R0_A,R0_A_low,R0_A_up,R0_B,R0_B_low,R0_B_up,X0,X0_low,X0_up,X0_A,X0_A_low,X0_A_up,X0_B,X0_B_low,X0_B_up,Uss1,Uss1_low,Uss1_up,Uacl,Uacl_low,Uacl_up,Uss2,Uss2_low,Uss2_up,sim_time_sec
9,16,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,305.4502587809949,297.65745750008506,313.2430600619047,194.49886891198474,189.75838281892158,199.2393550050479,457.26443912430125,448.2520375055802,466.2768407430223,0.0821645131999423,0.08038240678788115,0.08402743109106203,0.04680236646111985,0.04544596169159455,0.048242230173180814,0.034893846270721555,0.033921020011944136,0.03592411974113411,0.7905612811252898,0.7724052160849286,0.8087173461656509,0.9279773732642901,0.9114369809320978,0.9445177655964824,0.974253630276277,0.955792680534049,0.992714580018505,9.723748207092285
0,25,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,503.92106543627415,494.56349579035066,513.2786350821976,0.0,0.0,0.0,503.92106543627415,494.56349579035066,513.2786350821976,0.04961464027093428,0.04870017422663366,0.0505641062421163,0.0,0.0,0.0,0.04961464027093428,0.04870017422663366,0.0505641062421163,0.14864559746610076,0.14531453224848825,0.15197666268371327,0.9940525569644636,0.9815795344950172,1.00652557943391,0.8424201376578607,0.8263093713938676,0.8585309039218538,10.333998918533325
7,18,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,330.40056837316655,322.96980231443985,337.83133443189325,184.44940071273126,179.86378188352097,189.03501954194155,481.44123054194796,467.0775730582575,495.80488802563843,0.07558549897622839,0.07385133449915698,0.0774030645749083,0.03792531286537503,0.03709611076159801,0.03879243251737187,0.037732486640210776,0.03689946695661556,0.03860398650944801,0.6850357075209106,0.6696223538264626,0.7004490612153585,0.9643453739566539,0.9411470667819173,0.9875436811313905,0.959301021624369,0.9354554293876892,0.9831466138610488,12.59812307357788
5,20,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,359.83196575753306,350.2935949294193,369.3703365856468,173.91060839553057,168.915521231466,178.90569555959516,485.25260973281536,475.18317800121224,495.3220414644185,0.0699194950503536,0.06826865248136277,0.0716521560156915,0.028607282038284266,0.027823488221930964,0.029436515180788162,0.04130806909770523,0.04062047872043296,0.042019338229334284,0.5524233727362473,0.5402964103657688,0.5645503351067258,0.9656353172607385,0.9416581372243414,0.9896124972971355,0.946495599090324,0.9265607799600182,0.9664304182206298,13.532208919525146
8,17,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,319.6679628692261,311.4040822588949,327.93184347955724,190.23461817203216,186.64378633073085,193.82545001333347,464.53591943890046,457.30122486790907,471.77061400989186,0.07818203833792887,0.07611109595754255,0.08036883143270926,0.042113327999740116,0.04126448571703739,0.042997826437321314,0.03655734490863547,0.03592962736226649,0.03720738585450744,0.7370091840741374,0.7208500150589717,0.7531683530893031,0.9434247954093685,0.917827679686492,0.969021911132245,0.969883137954012,0.9437404683257664,0.9960258075822577,13.729656219482422
6,19,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,342.8317467995757,334.26049368178303,351.40299991736833,180.12600604111938,174.87729426142155,185.3747178208172,480.2092750545734,471.4655405718246,488.95300953732226,0.07295141799680625,0.0717056448251667,0.07424124321562547,0.0333456170823531,0.03250036469355284,0.0342360092004896,0.039827401796224,0.038734076496601925,0.040984241248607695,0.6230688505831348,0.609912129421501,0.6362255717447686,0.9658567866933482,0.9404843185287092,0.9912292548579872,0.9443798565778588,0.9188379230703511,0.9699217900853666,16.788300037384033
4,21,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,376.3670220289193,368.5785488844361,384.15549517340247,172.9457950828774,169.2783333382377,176.6132568275171,489.3525648092541,479.98923347497765,498.71589614353053,0.06642057125062638,0.06478505048765117,0.06814080929266243,0.02357101118768309,0.022888355346110726,0.024295639946878486,0.042927206562065064,0.04179404346168126,0.0441235290727057,0.4826088822842051,0.4722920644196073,0.49292570014880294,0.9778962458784367,0.9584403533840418,0.9973521383728317,0.928636852640613,0.9014519808766611,0.9558217244045649,18.65696620941162
10,15,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,300.36605533799525,293.447339759317,307.2847709166735,202.44936733219342,197.79695239499236,207.10178226939448,445.89647333333977,436.7943937890627,454.9985528776168,0.08255809515583105,0.08071077756812614,0.08449195681022266,0.049311918353739714,0.048405152254817584,0.050253305618756024,0.03370322340163295,0.033074461748908705,0.03435635446014992,0.8369042881198485,0.8182572903258523,0.8555512859138448,0.9319182573261823,0.9055500100363546,0.95828650461601,0.9673273472100741,0.944581838671706,0.9900728557484422,9.374753952026367
11,14,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,296.24257501844573,289.6809256342473,302.8042244026442,210.6062503269245,205.59755364040657,215.61494701344245,434.0417020567967,425.54699564745636,442.536408466137,0.08441474881580988,0.08242127084442763,0.0865070472143213,0.051843445145294716,0.05055350158527082,0.05320094186041936,0.03219543952265241,0.03146598497199939,0.03295951762607303,0.8719917890056154,0.8546929975064183,0.8892905805048125,0.8897959707132369,0.8647245052414647,0.9148674361850091,0.9730817657605143,0.9483537736362674,0.9978097578847612,10.81829285621643
13,12,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,287.12879837261653,281.6907740097879,292.56682273544516,227.27917405017706,222.19262988191963,232.3657182184345,400.5251391875843,393.6064297846138,407.44384859055475,0.08713686612262307,0.08489657149850446,0.08949860149371561,0.05728099686061375,0.05610994017045063,0.05850197716351529,0.02989224930889425,0.029330243567854252,0.030476213325923443,0.9659468042588076,0.9395297862109147,0.9923638223067006,0.8858877848104114,0.8716964428912123,0.9000791267296105,0.9672852215637484,0.9473131877304538,0.987257255397043,10.479948043823242
12,13,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.2,0.8,0.8,0.19999999999999996,0.05,0.2,0.03125,0.23529411764705882,287.97598677772896,281.0940704673556,294.8579030881023,217.0119967506932,212.1600675689991,221.86392593238733,416.05384066886126,407.5368785592897,424.57080277843284,0.08633309857676698,0.08473663122051908,0.08799087704670779,0.05525774550066445,0.054272259488228225,0.056279682685403266,0.031156022814649787,0.030568129181947803,0.03176697289884654,0.9234257152059807,0.9044725109630848,0.9423789194488766,0.9080931682175437,0.8881839719845737,0.9280023644505138,0.9660962531418273,0.9437000316118872,0.9884924746717675,11.667594909667969
