N_A,N_B,r_Z_A,r_Z_B,C_SS1,r_A_SS1,r_B_SS1,p_SS1toACL_A,p_SS1toRef_A,p_SS1toACL_B,p_SS1toRef_B,r_A_ACL,r_B_ACL,r_A_SS2,r_B_SS2,R0,R0_low,R0_up,R0_A,R0_A_low,R0_A_up,R0_B,R0_B_low,R0_B_up,X0,X0_low,X0_up,X0_A,X0_A_low,X0_A_up,X0_B,X0_B_low,X0_B_up,Uss1,Uss1_low,Uss1_up,Uacl,Uacl_low,Uacl_up,Uss2,Uss2_low,Uss2_up,sim_time_sec
0,25,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.7,0.30000000000000004,0.3,0.7,0.05,0.2,0.03125,0.23529411764705882,107.53200047796197,104.98275031323298,110.08125064269096,0.0,0.0,0.0,107.53200047796197,104.98275031323298,110.08125064269096,0.2311338450036838,0.2271437968080768,0.23526657943873114,0.0,0.0,0.0,0.2311338450036838,0.2271437968080768,0.23526657943873114,0.20062236272171471,0.1953103966091515,0.20593432883427792,0.4967549419965278,0.48933906600751287,0.5041708179855428,0.4211808445175481,0.4127243279371615,0.4296373610979347,8.666438817977905
9,16,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.7,0.30000000000000004,0.3,0.7,0.05,0.2,0.03125,0.23529411764705882,180.82697718939008,176.84425185967544,184.80970251910472,878.2889638034588,854.9912920881906,901.5866355187271,125.35045607231073,123.07018392719132,127.63072821743015,0.13713687441230749,0.13317348355812753,0.14134341139747875,0.010282698400857755,0.01001116015746075,0.010569377482015753,0.12814495446425697,0.1260999642878317,0.1302573661181624,0.5030732347835785,0.4905731851519871,0.5155732844151698,0.7462522183695824,0.7285649707441668,0.7639394659949981,0.9918934004738298,0.9790363436925291,1.0047504572551305,13.780591249465942
7,18,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.7,0.30000000000000004,0.3,0.7,0.05,0.2,0.03125,0.23529411764705882,157.2158436125579,153.35598431543156,161.07570290968425,742.501953774638,723.255979281753,761.747928267523,122.64281615812908,120.80696090333866,124.4786714129195,0.15674197872033488,0.1539376769086839,0.15965034899000558,0.009429676474558267,0.009193687289735093,0.009678099857252648,0.14680126667618829,0.14345415113786328,0.15030830541007525,0.5073450034353988,0.49229163528593367,0.5223983715848639,0.759931440395106,0.7377473663488174,0.7821155144413945,0.9734388394686619,0.9587627760187195,0.9881149029186044,16.56667685508728
6,19,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.7,0.30000000000000004,0.3,0.7,0.05,0.2,0.03125,0.23529411764705882,149.85334845600266,145.60292888112414,154.10376803088118,667.3238058502818,651.7977537561392,682.8498579444245,119.95670752731493,116.7962932145131,123.11712184011677,0.16752052517255223,0.16405143068362557,0.17113950683908866,0.008986526423271128,0.008763586330456236,0.009221105514728831,0.15781425339362098,0.1548562809917497,0.1608874291945486,0.4995536545920443,0.48505656591399504,0.5140507432700936,0.7618070722514287,0.7399011366419777,0.7837130078608798,0.9536584163977776,0.9350761045106224,0.9722407282849328,16.847137928009033
8,17,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.7,0.30000000000000004,0.3,0.7,0.05,0.2,0.03125,0.23529411764705882,169.4889350922223,166.4318706047296,172.54599957971502,819.2329139454365,802.3752169735117,836.0906109173613,124.61739891630276,120.98592477862857,128.24887305397695,0.1471350123478681,0.14456316335641647,0.14980002770325423,0.009741813098131952,0.009545847274762004,0.009945993486387819,0.13762255415470484,0.1355293652511597,0.13978141400155566,0.5110030318162208,0.4966226372020563,0.5253834264303853,0.7496211290082286,0.734747599086816,0.7644946589296413,0.9914230070846728,0.9791096400951831,1.0037363740741625,20.496740102767944
4,21,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.7,0.30000000000000004,0.3,0.7,0.05,0.2,0.03125,0.23529411764705882,133.21281005647074,131.04527990140684,135.38034021153464,517.5406206265069,503.94280050714184,531.1384407458719,116.896950438522,114.95877358350401,118.83512729353998,0.18727805317249482,0.18439439053854179,0.19025334135698643,0.007741521041638783,0.00757408536097034,0.007916526867614751,0.17964704604083376,0.17676943929542213,0.18261989153851807,0.46754124067889435,0.4555348764780945,0.4795476048796942,0.7649898159217254,0.742348872834859,0.7876307590085919,0.9113879847248186,0.8983166101049502,0.924459359344687,21.36244797706604
5,20,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.7,0.30000000000000004,0.3,0.7,0.05,0.2,0.03125,0.23529411764705882,141.22256244591654,139.1367341098963,143.30839078193677,589.9494065341855,578.548048573758,601.350764494613,118.3478252701513,115.00530547844097,121.69034506186163,0.17652104779356473,0.1725420989554117,0.18068784354660544,0.008548946136113482,0.008301120248580832,0.008812024830206492,0.16843045207354507,0.16573513893748054,0.17121488101755075,0.4771111260315176,0.4650630326451574,0.4891592194178778,0.7611013248156852,0.7407663170232944,0.7814363326080759,0.9472978578185478,0.9308371925924834,0.9637585230446122,21.377418994903564
10,15,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.7,0.30000000000000004,0.3,0.7,0.05,0.2,0.03125,0.23529411764705882,197.30858610592276,191.65614071382566,202.96103149801985,944.0418223355807,920.2295879006224,967.854056770539,127.7030007980156,126.16672348456228,129.2392781114689,0.1274024633316499,0.12435962868747645,0.13059793706828857,0.010507200429545999,0.010264468937919121,0.010761690077349518,0.11733772292846856,0.11550848382369917,0.11922583145501657,0.521189549850787,0.5079212138319007,0.5344578858696734,0.7448161806953811,0.7244214144027952,0.7652109469879671,0.9924173941685397,0.9784629133643291,1.0063718749727504,14.07483196258545
13,12,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.7,0.30000000000000004,0.3,0.7,0.05,0.2,0.03125,0.23529411764705882,244.97612361026594,240.98286036207156,248.96938685846033,1160.836889983841,1131.7478120594026,1189.9259679082795,132.7826253487786,130.66641919071927,134.89883150683792,0.10210439655043192,0.10046965525298719,0.10379321548102508,0.011196226333947764,0.010925663304268819,0.011480530079554765,0.09055744738538415,0.0892511030080418,0.09190260102569534,0.5214407402144919,0.5105227775567366,0.5323587028722473,0.7100927008386304,0.6899298606737229,0.730255541003538,0.9994075275904681,0.9869051726150896,1.0119098825658466,10.521260023117065
16,9,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.7,0.30000000000000004,0.3,0.7,0.05,0.2,0.03125,0.23529411764705882,322.3212609349858,312.7192391417675,331.9232827282041,1340.4180467729002,1309.2863660826488,1371.5497274631516,136.48284967738684,134.2915878326224,138.67411152215126,0.0776656357874109,0.07636411574547602,0.07901229027756679,0.01190608187274549,0.011628651704485463,0.01219707313626124,0.06512935190322952,0.06402106884025953,0.06627668239773479,0.5236256275744418,0.508238186290117,0.5390130688587665,0.6787509456269021,0.6602395775940773,0.6972623136597269,0.9994980995521886,0.9870039681985645,1.0119922309058127,9.378496170043945
