N_A,N_B,r_Z_A,r_Z_B,C_SS1,r_A_SS1,r_B_SS1,p_SS1toACL_A,p_SS1toRef_A,p_SS1toACL_B,p_SS1toRef_B,r_A_ACL,r_B_ACL,r_A_SS2,r_B_SS2,R0,R0_low,R0_up,R0_A,R0_A_low,R0_A_up,R0_B,R0_B_low,R0_B_up,X0,X0_low,X0_up,X0_A,X0_A_low,X0_A_up,X0_B,X0_B_low,X0_B_up,Uss1,Uss1_low,Uss1_up,Uacl,Uacl_low,Uacl_up,Uss2,Uss2_low,Uss2_up,sim_time_sec
0,25,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.6,0.4,0.4,0.6,0.05,0.2,0.03125,0.23529411764705882,116.62386388058404,114.663486375989,118.58424138517908,0.0,0.0,0.0,116.62386388058404,114.663486375989,118.58424138517908,0.21384170024900004,0.20963594459136795,0.21821966409807192,0.0,0.0,0.0,0.21384170024900004,0.20963594459136795,0.21821966409807192,0.2143564719547747,0.20913055872079495,0.21958238518875445,0.7007176196729421,0.682429861368784,0.7190053779771002,0.6052184908544088,0.5891777663167342,0.6212592153920834,7.830899953842163
8,17,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.6,0.4,0.4,0.6,0.05,0.2,0.03125,0.23529411764705882,187.80092973658526,184.22668195360865,191.37517751956187,597.1247406111082,584.4192574533521,609.8302237688644,142.11828209201354,138.4121142019486,145.82444998207848,0.1326710662316428,0.13017971005958084,0.13525964122417036,0.013397501273731032,0.013120419239498379,0.013686538838285356,0.11948234542768343,0.11601894986863802,0.12315888211285084,0.5222039063930595,0.5127104050081275,0.5316974077779915,0.7951207708891629,0.7788779394628337,0.8113636023154921,0.9831778759323395,0.9686731546365198,0.9976825972281592,14.446117877960205
5,20,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.6,0.4,0.4,0.6,0.05,0.2,0.03125,0.23529411764705882,156.03789745268958,153.37141326223502,158.70438164314413,458.31504194534926,447.9070340656733,468.7230498250252,134.1128472808034,131.4175635791062,136.80813098250061,0.16019562505362467,0.15659354296766437,0.16396732438853753,0.010908195085358568,0.010670923370110805,0.011156258394713342,0.1494341784460616,0.14666482633619574,0.15231012614066913,0.4748237780657387,0.4651815243208656,0.4844660318106118,0.840408828809867,0.81575983228978,0.865057825329954,0.9429288393766829,0.9216476393021182,0.9642100394512476,18.680704832077026
9,16,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.6,0.4,0.4,0.6,0.05,0.2,0.03125,0.23529411764705882,201.27382259211808,197.1418065526859,205.40583863155027,649.8089012495091,631.7415383153357,667.8762641836825,144.2716095544001,142.25666278036448,146.28655632843572,0.12396915091337557,0.1214035904392754,0.12664548570018005,0.01401583354183002,0.013718884748567977,0.014325921808579853,0.11088779110315629,0.10900204582780161,0.11283993216001541,0.5165595494950008,0.5036268518592347,0.5294922471307669,0.7922467473963872,0.775987544528654,0.8085059502641204,0.9912697353599069,0.9771271323183837,1.0054123384014302,18.736571788787842
4,21,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.6,0.4,0.4,0.6,0.05,0.2,0.03125,0.23529411764705882,147.79352681615703,143.8785117609594,151.70854187135464,413.7408123652879,405.71622569684394,421.7653990337319,131.01336160861473,127.29572422629137,134.7309989909381,0.16770791610117128,0.16299202886592704,0.1727048260121822,0.009671797963573578,0.009488503429554162,0.009862313589903457,0.1585552362576221,0.15602668927308627,0.16116708783148626,0.45651351914849436,0.44456810868468616,0.46845892961230257,0.826657761250845,0.8035279755719573,0.8497875469297327,0.9284875885612724,0.9036084267760452,0.9533667503464996,19.034430980682373
10,15,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.6,0.4,0.4,0.6,0.05,0.2,0.03125,0.23529411764705882,214.2557663814293,210.51824872058825,217.99328404227037,682.3554519534692,662.7877323041632,701.9231716027753,146.44905052312208,143.61706965732745,149.28103138891672,0.11649245683498703,0.11400452351541022,0.11909140165862421,0.014504631003336663,0.014189915987672521,0.014833622646962344,0.10241650679816228,0.10055247927252556,0.10435094982946004,0.5460743340498616,0.5305763085260624,0.5615723595736608,0.7779789953033986,0.7579050650029288,0.7980529256038685,0.9926933598040243,0.9785725641443785,1.00681415546367,11.384063005447388
6,19,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.6,0.4,0.4,0.6,0.05,0.2,0.03125,0.23529411764705882,165.4106299907108,162.78351965416368,168.0377403272579,510.7255788589753,499.29925619576227,522.1519015221884,136.89187423295635,132.98965491083692,140.7940935550758,0.1509778964518183,0.14872498564869377,0.15330011202982485,0.011761732205277023,0.011530578609636874,0.012002343270604555,0.1388192051112615,0.13672576465217742,0.14097774870188545,0.4948549592853144,0.4820564420389134,0.5076534765317154,0.8051479543714214,0.7820424831122271,0.8282534256306157,0.9643440800356378,0.9453112148903349,0.9833769451809407,19.556397676467896
7,18,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.6,0.4,0.4,0.6,0.05,0.2,0.03125,0.23529411764705882,175.28605512571912,171.79177081369016,178.78033943774807,552.0555445899764,541.146075041815,562.9650141381378,139.85240378592735,135.75903048809937,143.94577708375533,0.14225755217322728,0.13927163615508562,0.14537430646934016,0.012609456362336782,0.012248223601535557,0.012992644066861682,0.12902147980533946,0.12675634683557813,0.13136904152185927,0.511137224453523,0.4984731326400526,0.5238013162669934,0.8120996896594214,0.7882108566045789,0.8359885227142638,0.9772181140991619,0.9549897175917916,0.9994465106065322,27.23418927192688
11,14,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.6,0.4,0.4,0.6,0.05,0.2,0.03125,0.23529411764705882,228.72096090747283,224.93656378398765,232.505358030958,724.8582616353641,709.1187574580255,740.5977658127027,148.52647553975504,146.2497185679187,150.80323251159137,0.10917911881388058,0.10682257335056942,0.1116419822186884,0.015175540009596625,0.014848269114826283,0.015517562815625498,0.09394804401841175,0.09132124384508851,0.09673043633178169,0.5476734059423659,0.5366239562727859,0.5587228556119459,0.7663836265379198,0.7500369363711202,0.7827303167047194,0.9970213522115281,0.983839179103669,1.010203525319387,14.154620170593262
14,11,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.6,0.4,0.4,0.6,0.05,0.2,0.03125,0.23529411764705882,284.80928869148573,280.4594855993233,289.1590917836482,842.1574099130612,822.643439432135,861.6713803939874,154.0791901340694,151.3035335844552,156.85484668368358,0.08795784790814368,0.08622923076253264,0.08975718920848445,0.016232798969617525,0.015765543412453346,0.01672859729676564,0.07059840012533371,0.0689971593515145,0.07227572776227016,0.5644673543382387,0.5506495129409815,0.5782851957354959,0.7457740098047537,0.7256820597367654,0.7658659598727421,0.9994433678214788,0.9869935101621522,1.0118932254808055,10.111972093582153
