N_A,N_B,r_Z_A,r_Z_B,C_SS1,r_A_SS1,r_B_SS1,p_SS1toACL_A,p_SS1toRef_A,p_SS1toACL_B,p_SS1toRef_B,r_A_ACL,r_B_ACL,r_A_SS2,r_B_SS2,R0,R0_low,R0_up,R0_A,R0_A_low,R0_A_up,R0_B,R0_B_low,R0_B_up,X0,X0_low,X0_up,X0_A,X0_A_low,X0_A_up,X0_B,X0_B_low,X0_B_up,Uss1,Uss1_low,Uss1_up,Uacl,Uacl_low,Uacl_up,Uss2,Uss2_low,Uss2_up,sim_time_sec
0,25,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.3,0.7,0.7,0.30000000000000004,0.05,0.2,0.03125,0.23529411764705882,294.2028011938339,286.79454994934804,301.6110524383198,0.0,0.0,0.0,294.2028011938339,286.79454994934804,301.6110524383198,0.08488729698947074,0.08322277199969282,0.08661976467157402,0.0,0.0,0.0,0.08488729698947074,0.08322277199969282,0.08661976467157402,0.1691049776236613,0.16603046745421718,0.17217948779310543,0.988125649608752,0.9721633237730729,1.0040879754444312,0.8356512468534592,0.8127233936762771,0.8585791000306412,11.583148956298828
9,16,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.3,0.7,0.7,0.30000000000000004,0.05,0.2,0.03125,0.23529411764705882,286.88868294133096,278.81517186137944,294.96219402128247,270.8222327512182,263.45129724577475,278.1931682566617,298.30204863870784,291.90400914933844,304.70008812807725,0.08728149976501809,0.08476159132125262,0.08995582962485356,0.03321029927827349,0.03229246659276709,0.03418183246852994,0.05344309013089194,0.05208224821233716,0.05487695410709906,0.6746650182207098,0.6597114584823114,0.6896185779591082,0.9190072727597868,0.8931357819729281,0.9448787635466455,0.9715769269843871,0.9535088564586246,0.9896449975101497,14.565430879592896
7,18,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.3,0.7,0.7,0.30000000000000004,0.05,0.2,0.03125,0.23529411764705882,286.2776599505195,277.72162543327624,294.8336944677627,259.5022656155273,252.3434332591492,266.66109797190535,300.76325520504855,292.70660808730946,308.81990232278764,0.08696612271035108,0.08463933786664944,0.08942445316915154,0.02695509332209643,0.02639942450096797,0.027534657109776914,0.05970120998510879,0.05863403545508016,0.060807951080318896,0.5831744766536938,0.5731414018290157,0.5932075514783719,0.9248389408691321,0.9054822355229636,0.9441956462153006,0.9778801151038545,0.9617117933153219,0.9940484368923872,18.173439025878906
3,22,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.3,0.7,0.7,0.30000000000000004,0.05,0.2,0.03125,0.23529411764705882,287.1481967448439,280.9959985636779,293.3003949260099,232.30206171402284,226.55209169229602,238.05203173574967,295.8711950398546,288.2415265690858,303.50086351062345,0.08701307738256582,0.08514097121330486,0.08896936343123624,0.01292060170496641,0.01259550437138733,0.013262925569984027,0.07432122693936627,0.07269490896292406,0.07602197752024838,0.37554467632756555,0.3651402373413327,0.3859491153137984,0.9771097146731791,0.9603703875339049,0.9938490418124533,0.913645167239226,0.894053265552661,0.933237068925791,24.552186012268066
10,15,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.3,0.7,0.7,0.30000000000000004,0.05,0.2,0.03125,0.23529411764705882,295.88630164762765,288.5376196407652,303.2349836544901,286.24608516875594,279.0803190646771,293.4118512728348,300.425041005986,293.3373988526218,307.51268315935016,0.0848772419713609,0.08277218157461932,0.08709216817734981,0.034924925309052425,0.03412111499636254,0.035767520933154565,0.04986507812162446,0.048774410943296855,0.051005638819208624,0.6968631806686277,0.6778224867685707,0.7159038745686848,0.8950594051550204,0.8796728866120955,0.9104459236979452,0.9750234937255523,0.9576064877729381,0.9924404996781665,14.00658893585205
6,19,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.3,0.7,0.7,0.30000000000000004,0.05,0.2,0.03125,0.23529411764705882,287.9583194880205,280.6149157431288,295.3017232329122,253.69422641773332,248.3157208758721,259.07273195959453,298.5859861620329,293.6658108597453,303.5061614643205,0.08720619605787415,0.08533583671756503,0.08916038033207946,0.02365357463857084,0.02316915392761998,0.024158684455534696,0.06361512799995296,0.06254265649721404,0.06472502236466278,0.529877823785911,0.5183339888421394,0.5414216587296825,0.937465770563531,0.911939851011124,0.962991690115938,0.9652489426083745,0.9446743987169263,0.9858234864998227,25.916552305221558
4,21,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.3,0.7,0.7,0.30000000000000004,0.05,0.2,0.03125,0.23529411764705882,291.6629766049351,285.2005765362802,298.12537667359004,237.3491533889563,231.65578801465762,243.04251876325498,302.3033154383651,295.6447985863944,308.96183229033574,0.08587400651397484,0.08419263941054808,0.08762389747498951,0.016809585037255614,0.016414422548841897,0.01722424323167077,0.06998378660899887,0.06847984033894972,0.07155527522139789,0.4246472125601849,0.41424082785350086,0.43505359726686893,0.9607514116841344,0.9375578008175228,0.9839450225507459,0.9277170120517191,0.9073602902310036,0.9480737338724345,26.60571599006653
8,17,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.3,0.7,0.7,0.30000000000000004,0.05,0.2,0.03125,0.23529411764705882,289.162844842249,281.5143213387935,296.8113683457045,268.8961819865422,263.49071954654744,274.301644426537,297.42528313522166,291.37861337350137,303.47195289694196,0.08612011902173673,0.08416017904978126,0.08817352258301416,0.02974813953791696,0.029053934795707177,0.030476330515058984,0.057206312038979114,0.0555540782674276,0.05895983646065167,0.6266575030246431,0.6092356669237106,0.6440793391255756,0.9139249239300732,0.8947889675308348,0.9330608803293116,0.9852259671400908,0.9673213549942786,1.003130579285903,27.336377143859863
5,20,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.3,0.7,0.7,0.30000000000000004,0.05,0.2,0.03125,0.23529411764705882,286.18830243777745,281.6476457287701,290.7289591467848,242.2139753729878,235.6866685564526,248.741282189523,299.3354981212065,293.4088468448039,305.2621493976091,0.08761712409632262,0.085774554799164,0.08954059369852051,0.02033914810622545,0.019766525767014046,0.020945937163488478,0.06710940175605093,0.06602287494432238,0.06823228849705036,0.4881065090092115,0.47472775281867924,0.5014852651997438,0.947507547301654,0.921834261805441,0.9731808327978669,0.9535956886570147,0.9260400017132995,0.98115137560073,27.80066990852356
12,13,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.3,0.7,0.7,0.30000000000000004,0.05,0.2,0.03125,0.23529411764705882,297.4793446425024,288.59851471293956,306.3601745720652,300.2244206474123,291.51976494394216,308.9290763508824,295.6993795663833,288.30170052517815,303.09705860758845,0.08364956827039287,0.08176168367423764,0.08562669635539019,0.039993717328256344,0.0390329331445466,0.04100299398075823,0.043946255393330795,0.04286497339474501,0.04508350041104674,0.7794154986921074,0.7617327804380866,0.7970982169461281,0.8508917803280925,0.831078352049143,0.870705208607042,0.9869805929046334,0.9624781758846487,1.011483009924618,10.388014078140259
11,14,0.05,0.01,1,0.08333333333333333,1.6666666666666667,0.3,0.7,0.7,0.30000000000000004,0.05,0.2,0.03125,0.23529411764705882,295.7982486117664,288.8386621891735,302.7578350343593,294.63537284701613,287.8991002398767,301.37164545415555,297.729642930263,291.88615927713204,303.573126583394,0.0841684369429865,0.08195880383459567,0.08650051592584189,0.03737642146893113,0.036469989501818595,0.038329059100941025,0.04699426573786557,0.046009454907171544,0.04802215752531762,0.73058529317314,0.7158882008595934,0.7452823854866867,0.8575605222006474,0.8340796722568891,0.8810413721444057,0.9892030948952852,0.9731910763157091,1.0052151134748615,13.967750310897827
