N_read,N_write,r_Z_read,r_Z_write,C_DB_read,r_DB_read,C_DB_write,r_DB_write,R0,R0_low,R0_up,R0_read,R0_read_low,R0_read_up,R0_write,R0_write_low,R0_write_up,X0,X0_low,X0_up,X0_read,X0_read_low,X0_read_up,X0_write,X0_write_low,X0_write_up,U_DBread,U_DBread_low,U_DBread_up,U_DBwrite,U_DBwrite_low,U_DBwrite_up,sim_time_sec
90,10,0.1,0.0024390243902439024,1,0.14285714285714285,1,0.027777777777777776,623.3578071628016,607.8557757907308,638.8598385348723,719.6039561108952,702.7800088985684,736.4279033232219,496.2582897472603,489.0317748029797,503.48480469154083,0.1647566046132831,0.1616558014562108,0.1679786903577484,0.12435291318421032,0.12163856082921597,0.12719117149244313,0.02014725384255385,0.019848949875966436,0.02045466085943374,0.8448787888691907,0.8197384461974494,0.8700191315409319,0.7324233101825415,0.7133127918516393,0.7515338285134436,16.631892919540405
90,10,0.1,0.002631578947368421,1,0.14285714285714285,1,0.027777777777777776,657.0742431569739,643.7665506521887,670.3819356617591,778.9362781886342,757.195183766125,800.6773726111435,473.12414726264933,465.52799800512827,480.7202965201704,0.15559847658342268,0.1518785884759534,0.15950515854771813,0.11430561715793748,0.1111482663860194,0.11764759205013907,0.021199946122596368,0.02065380879404579,0.02177575033546502,0.7946577253803101,0.7744918066731046,0.8148236440875156,0.7564479634309256,0.7399290678259904,0.7729668590358607,20.573137760162354
90,10,0.1,0.0022727272727272726,1,0.14285714285714285,1,0.027777777777777776,610.4521554274443,596.7715093542276,624.1328015006609,703.6067928596032,685.6740811336016,721.5395045856047,524.7272082153182,515.1622478263095,534.292168604327,0.16685630336433516,0.16229416543316813,0.17168234587889733,0.12788664410107017,0.12433172591293347,0.13165083166074287,0.019043845997291663,0.0187446038863597,0.019352797415316137,0.923048522863721,0.8962024914450349,0.949894554282407,0.6876986032131972,0.6703758121152861,0.7050213943111083,20.620522022247314
90,10,0.1,0.002127659574468085,1,0.14285714285714285,1,0.027777777777777776,598.3399750183673,582.9452749795591,613.7346750571755,683.2199569830183,668.5341683148448,697.9057456511918,548.4802013612016,538.4127518180892,558.547650904314,0.16982636444826352,0.1661944046263206,0.1736206143017581,0.13192037375828536,0.12892311176848154,0.13506031621363795,0.01821420121283254,0.01790460338992588,0.018534694265250035,0.9360744909081838,0.910745771682375,0.9614032101339927,0.6535006236297098,0.6372992234822761,0.6697020237771436,21.693084001541138
90,10,0.1,0.002380952380952381,1,0.14285714285714285,1,0.027777777777777776,606.3452572801449,590.8003484609197,621.89016609937,693.0412056074069,674.9841227771043,711.0982884377096,506.20950620981876,499.7966760388926,512.6223363807449,0.16854509157812889,0.1653460773330649,0.17187033311273153,0.13006678785175638,0.12677676083772085,0.1335321256448192,0.019755070330767354,0.01951638998345303,0.019999660955730775,0.9049401934369519,0.8832860866964981,0.9265943001774056,0.712046533110933,0.6945158733418921,0.7295771928799739,14.81551194190979
90,10,0.1,0.002857142857142857,1,0.14285714285714285,1,0.027777777777777776,678.2856115075612,664.6061991702538,691.9650238448685,833.8261507851776,815.9981869581826,851.6541146121725,449.8610373011837,436.6311305238951,463.0909440784724,0.14843224659640866,0.14435134682934136,0.1527505982752312,0.10826787138636583,0.10543897861340851,0.11125274559633966,0.022228184256445058,0.021592924656584685,0.022901955279989557,0.747986623729834,0.7256898454195864,0.7702834020400817,0.7942836553043152,0.7730519833908024,0.815515327217828,33.040663957595825
90,10,0.1,0.002564102564102564,1,0.14285714285714285,1,0.027777777777777776,638.7734097023673,622.1701865323402,655.3766328723945,755.4395810686573,734.107882603422,776.7712795338925,481.165473199169,472.679349313155,489.651597085183,0.15994762714766772,0.1564128271007654,0.16364588837486355,0.11859545473367378,0.11543121343134637,0.12193806413179073,0.020721621070963075,0.020454317449121955,0.02099600362254197,0.8307287624509417,0.8143801887222891,0.8470773361795944,0.7478430421701668,0.733654497694437,0.7620315866458967,13.327127933502197
90,10,0.1,0.0022222222222222222,1,0.14285714285714285,1,0.027777777777777776,611.6676129707013,599.3834106991542,623.9518152422484,697.3062195464233,681.259523927471,713.3529151653756,529.7997433269294,520.5572566646904,539.0422299891684,0.16658743419031585,0.1626820632582614,0.170684923019443,0.12953263716536548,0.12701633246346297,0.13215065733619852,0.01894337315485863,0.018582184444983375,0.019318881310941755,0.9026892520403149,0.8871793645374854,0.9181991395431445,0.6797772999100345,0.665122575987282,0.6944320238327871,15.494439125061035
90,10,0.1,0.0020833333333333333,1,0.14285714285714285,1,0.027777777777777776,602.0638334471822,586.4865498221335,617.6411170722309,672.1062588009511,652.8030503664237,691.4094672354785,557.8329136598494,547.2422940394116,568.4235332802872,0.1700530537062792,0.16529520667781325,0.17509291743659863,0.13371884629155661,0.13000666812896428,0.13764924880763416,0.017914983888518313,0.017610726832725052,0.018229938949993058,0.9434601153981037,0.9203483642951719,0.9665718665010355,0.6512052274184668,0.6338600353625319,0.6685504194744016,15.502070188522339
90,10,0.1,0.003125,1,0.14285714285714285,1,0.027777777777777776,731.9839218413638,711.4110448960029,752.5567987867247,954.2385784654293,914.3349782417012,994.1421786891575,429.126220974168,422.0889253310142,436.1635166173218,0.1405225856614661,0.13748868945159196,0.14369339816848917,0.09413821486116601,0.09167964875746394,0.09673227690610721,0.02333144785321661,0.02270996026485443,0.023987908146857712,0.6605096398791156,0.6451421023753513,0.6758771773828799,0.8335539933934476,0.8200702940152078,0.8470376927716874,43.536259174346924
