N_read,N_write,r_Z_read,r_Z_write,C_DB,r_DB_read,r_DB_write,R0,R0_low,R0_up,R0_read,R0_read_low,R0_read_up,R0_write,R0_write_low,R0_write_up,X0,X0_low,X0_up,X0_read,X0_read_low,X0_read_up,X0_write,X0_write_low,X0_write_up,U_DBread,U_DBread_low,U_DBread_up,U_DBwrite,U_DBwrite_low,U_DBwrite_up,sim_time_sec
90,10,0.1,0.0028571428571428,1,0.3333333333333333,0.0227272727272727,546.7342003029105,531.2467212533312,562.2216793524898,524.3992071177227,509.5410862252105,539.2573280102348,909.8202797755288,885.7671740595447,933.8733854915127,0.1819550642098303,0.1774184364555632,0.1867297851623975,0.1687985353504128,0.1660235235735916,0.1716678902887948,0.0109906459970763,0.0107158375674975,0.0112799203709543,0.5105544089602876,0.5000653362230226,0.5210434816975525,0.4939434718816438,0.4805111995466425,0.5073757442166451,7.619696140289307
90,10,0.1,0.0043478260869565,1,0.3333333333333333,0.0227272727272727,604.2975808744305,586.5237132831159,622.0714484657452,584.040386043214,573.8183741976349,594.2623978887931,828.8384284812786,804.7498180775099,852.9270388850473,0.166424854721232,0.161971298633281,0.1711302448122361,0.1540336932784105,0.1501395186101526,0.1581352536444027,0.0121570074679748,0.0120014272553236,0.0123166743791087,0.4629345089760819,0.4503544449655702,0.4755145729865937,0.533527252973518,0.5245570084625776,0.5424974974844584,10.034817934036257
90,10,0.1,0.003125,1,0.3333333333333333,0.0227272727272727,564.2717717975426,547.4818003808319,581.0617432142532,539.6273146755169,525.4374846605116,553.8171446905222,882.7431589277288,861.3795666587683,904.1067511966892,0.1770163323617092,0.1728199943443929,0.1814215290070394,0.1662854385928793,0.1639865775858329,0.1686496695864842,0.0112997708579562,0.0110287405823674,0.01158445783338,0.4978884065299348,0.4862495005739666,0.509527312485903,0.5009832642757731,0.4927746955552683,0.5091918329962779,10.359070777893066
90,10,0.1,0.0038461538461538,1,0.3333333333333333,0.0227272727272727,585.3009937262822,573.9128972428649,596.6890902096994,567.5295902441317,552.3665674857864,582.692613002477,843.3364202605545,830.906876932355,855.7659635887541,0.1705573650808116,0.1671562470161731,0.1740997624343943,0.1586569051198536,0.1546403981052274,0.1628876189044913,0.0118621421580712,0.011518027299522,0.0122274519269081,0.4752617550377983,0.4641620375457489,0.4863614725298476,0.5235081744556858,0.5142546102906476,0.532761738620724,10.515976905822754
90,10,0.1,0.0022727272727272,1,0.3333333333333333,0.0227272727272727,524.0639706427966,509.33839341406383,538.7895478715293,499.43669050614153,484.6469645914979,514.2264164207851,959.8575848530152,933.1030307940688,986.6121389119616,0.1902567859624331,0.1852550872500482,0.1955360604831001,0.1804547280285075,0.1754416265430381,0.1857627471223424,0.0104084528791812,0.010127737480626,0.01070517334695,0.5423806330246714,0.5269093549527392,0.5578519110966037,0.4525995974383962,0.4424041070174627,0.4627950878593296,10.58130383491516
90,10,0.1,0.0024390243902439,1,0.3333333333333333,0.0227272727272727,537.659577300628,526.9690806549911,548.350073946265,515.2738557834789,503.5604180927367,526.9872934742211,946.4283251426148,918.9068386292952,973.9498116559342,0.1852430782389683,0.1814247700068675,0.1892255638057184,0.1773020004300305,0.1744444342499283,0.1802547450415071,0.0105934700505373,0.0103050396313341,0.0108985113018015,0.5223088493444449,0.5093271319132668,0.5352905667756229,0.4699291737380773,0.4617008486957197,0.4781574987804349,11.39358115196228
90,10,0.1,0.0026315789473684,1,0.3333333333333333,0.0227272727272727,539.758043929845,524.4661974716289,555.0498903880612,516.6084212578164,503.4504868812472,529.7663556343856,931.4806043043266,907.0841742608426,955.8770343478104,0.1841277492661386,0.1794716829399849,0.1890318363818928,0.1737489062837058,0.1688658087885599,0.1789228227433515,0.0108301928888031,0.0105261264301974,0.0111523489323859,0.5194293169982409,0.509250952686565,0.5296076813099169,0.4792347273006469,0.4697506984993134,0.4887187561019804,11.40707302093506
90,10,0.1,0.005,1,0.3333333333333333,0.0227272727272727,613.7432820554595,597.0447548344979,630.4418092764212,596.8060535143528,578.956406093518,614.6557009351876,809.7191328831927,786.412028958911,833.0262368074744,0.1632770657148942,0.1587381212862049,0.1680832231981093,0.151678514044381,0.1481737298083877,0.1553531137510307,0.0123193046141024,0.0119835868886071,0.0126743746159039,0.4567389090528577,0.4437749802486335,0.4697028378570818,0.5452560215529125,0.5360282193344017,0.5544838237714234,12.116274118423462
90,10,0.1,0.002127659574468,1,0.3333333333333333,0.0227272727272727,523.130144652234,508.4861512659336,537.7741380385344,487.2839171591695,474.5436215776799,500.02421274065904,979.8411199970906,953.179275985306,1006.5029640088752,0.1917612747818799,0.186452801558464,0.1973808798880627,0.1846675249230691,0.1815052193353201,0.1879419759997548,0.0101754378062297,0.0100078515625563,0.0103487322596228,0.5484113943992588,0.5329036116384325,0.5639191771600851,0.4503376177856093,0.4411467553907225,0.4595284801804961,12.257133722305298
90,10,0.1,0.0034482758620689,1,0.3333333333333333,0.0227272727272727,570.4644901572111,559.1364182690695,581.7925620453527,552.2051687574585,539.7937259417047,564.6166115732124,857.900335575803,834.9808979190747,880.8197732325312,0.175275850576528,0.1717795947619069,0.1789173828611518,0.1641016334323834,0.1600804957061251,0.1683299942155969,0.0116238901049806,0.0114625590911483,0.0117898272900795,0.4896717354973654,0.4805220411072445,0.4988214298874863,0.5066484662076215,0.4981277398912153,0.5151691925240276,14.786302089691162
90,10,0.1,0.0037037037037037,1,0.3333333333333333,0.0227272727272727,579.90307038579,566.800556654129,593.005584117451,554.1812582936618,538.1671924943101,570.1953240930135,838.9219268947132,819.3149272807941,858.5289265086324,0.172596760251622,0.168084040268442,0.1773584803848414,0.1613414656812677,0.1572668550506928,0.1656328294752111,0.0118652147093971,0.0115547241494038,0.0121928526164424,0.4809945295854285,0.4708976487708095,0.4910914104000476,0.517912563225539,0.5035555846896882,0.5322695417613899,6.939129114151001
90,10,0.1,0.0027777777777777,1,0.3333333333333333,0.0227272727272727,539.5061922629181,524.9440818538822,554.0683026719541,517.8461304697133,505.1615218163089,530.5307391231178,907.8788803456227,894.245364015397,921.5123966758488,0.1815499801362952,0.1776228624426187,0.1856546756215553,0.1708259585025411,0.1659878223346532,0.1759546017404187,0.0109945404583815,0.0108454228338514,0.0111478157926086,0.5208276293010082,0.5063680780224449,0.5352871805795716,0.4880327670320434,0.4791411977249274,0.4969243363391594,12.64805293083191
90,10,0.1,0.0033333333333333,1,0.3333333333333333,0.0227272727272727,566.543826804988,552.0868582790288,581.0007953309473,544.7416647164789,534.1139010973617,555.3694283355961,869.6211188556912,844.0248136751429,895.2174240362394,0.1754755048868606,0.1704807691629017,0.1807717450270383,0.1655004871491089,0.1609403422216037,0.1703265854661056,0.0115639306381057,0.0112660624227979,0.0118779775373448,0.4933383492409033,0.4816986667036462,0.5049780317781604,0.5026668411132807,0.4879955895173971,0.5173380927091644,7.215202808380127
90,10,0.1,0.0022222222222222,1,0.3333333333333333,0.0227272727272727,528.2924010572352,517.6925926243664,538.892209490104,502.2162370617398,491.4537335940523,512.9787405294272,969.4719169240888,956.517058375004,982.4267754731736,0.1897812025953829,0.1858773138692205,0.1938525921219976,0.1786903434522236,0.1755245167329509,0.1819724678622674,0.010314812772397,0.0101761464444079,0.010457310410694,0.5400159083252507,0.5294265139130713,0.5506053027374301,0.4528318216139632,0.4442034259147817,0.4614602173131448,12.09475302696228
90,10,0.1,0.0025641025641025,1,0.3333333333333333,0.0227272727272727,543.5493549852031,527.5290501846526,559.5696597857535,513.8982238223742,503.2220236165485,524.5744240281999,928.3176225872376,913.4894485326188,943.1457966418562,0.1860953693224226,0.1807840252404937,0.1917282492214414,0.1744672257386237,0.1704751183864064,0.1786507871138385,0.0107722348039949,0.0104645443961956,0.0110985674778266,0.5241862088721501,0.5139430182809809,0.5344293994633192,0.4719211270081605,0.4626438224213739,0.4811984315949471,11.430619955062866
90,10,0.1,0.0047619047619047,1,0.3333333333333333,0.0227272727272727,604.4622985745723,592.4162630461809,616.5083341029637,581.0064272620855,563.8580577700067,598.1547967541643,816.4272233691721,805.1583271994219,827.6961195389223,0.1659501712717508,0.1632801636536425,0.1687089521138783,0.1546921362081088,0.1507772946141915,0.1588156898913354,0.0122581246786681,0.0120986905989775,0.0124218168502635,0.4610459676197583,0.4503793862437374,0.4717125489957791,0.5421495361582878,0.5265636318049532,0.5577354405116223,11.01331901550293
90,10,0.1,0.003030303030303,1,0.3333333333333333,0.0227272727272727,552.4900606053086,538.044085234039,566.9360359765782,530.3442091041736,515.6086407518628,545.0797774564844,888.7848904859933,874.9178908391141,902.6518901328724,0.1809570368941773,0.1777119435170923,0.1843228481155698,0.1677781919102244,0.1632252328492893,0.1725924371519853,0.0112514570294816,0.0110785247335793,0.0114298737736864,0.5130578367791195,0.5004970027028055,0.5256186708554336,0.4932790611069,0.4836115282618365,0.5029465939519635,13.154932022094728
90,10,0.1,0.0023809523809523,1,0.3333333333333333,0.0227272727272727,524.9987499554007,513.9540224221566,536.0434774886448,500.3854826469026,491.1239667110087,509.6469985827966,951.0207316563594,937.8756850890808,964.165778223638,0.1904876537497341,0.1852825544644609,0.1959936575379345,0.1796886870592903,0.1750864408714676,0.1845394098875738,0.0105128886254939,0.010373524715128,0.010656048118103,0.5397938847272375,0.5269548948621497,0.5526328745923254,0.4600857242001059,0.4516215454401797,0.468549902960032,12.219389915466309
90,10,0.1,0.0041666666666666,1,0.3333333333333333,0.0227272727272727,590.8055033223749,574.6965126867743,606.9144939579754,571.2315733660755,555.906689230764,586.5564575013871,831.1357273471222,820.5571041644391,841.7143505298052,0.1688826693251709,0.164923388543779,0.1730367252589097,0.1568492289560671,0.1527456398994817,0.1611793951225597,0.0119993967022598,0.0118303650907534,0.0121733285570769,0.4695314351616559,0.4580619672439739,0.481000903079338,0.533788585230154,0.5183919028448681,0.54918526761544,15.11611795425415
90,10,0.1,0.0035714285714285,1,0.3333333333333333,0.0227272727272727,574.0052988388668,559.6682656495609,588.3423320281727,554.5899083872547,539.9198432916954,569.259973482814,853.8041151972711,840.0274725381107,867.5807578564315,0.1743573265500342,0.1696005063623364,0.1793886775835676,0.1631611971644948,0.1585128033142433,0.1680904560369087,0.0117145910777747,0.0115490486715401,0.0118849482199304,0.4860973619099427,0.4760745368998518,0.4961201869200336,0.5148288185279977,0.5059740306972746,0.5236836063587207,10.99136209487915
